Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/5/1999,AQS,410030013,1,3,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/8/1999,AQS,410030013,1,3.4,ug/m3 LC,14,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/11/1999,AQS,410030013,1,5.1,ug/m3 LC,21,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/14/1999,AQS,410030013,1,3.8,ug/m3 LC,16,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/17/1999,AQS,410030013,1,3.7,ug/m3 LC,15,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/20/1999,AQS,410030013,1,4.5,ug/m3 LC,19,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/23/1999,AQS,410030013,1,3,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/26/1999,AQS,410030013,1,1,ug/m3 LC,4,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
6/29/1999,AQS,410030013,1,3.9,ug/m3 LC,16,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
7/2/1999,AQS,410030013,1,1.4,ug/m3 LC,6,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
